BHK,Rent,Size,Floor/Total,Floor,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
2,10000,1100,Ground out of 2,Ground,Bandel,Kolkata,Unfurnished,Bachelors/Family,2
2,20000,800,1 out of 3,1,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1
2,17000,1000,1 out of 3,1,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,1
2,10000,800,1 out of 2,1,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1
2,7500,850,1 out of 2,1,South Dum Dum,Kolkata,Unfurnished,Bachelors,1
2,7000,600,Ground out of 1,Ground,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,2
2,10000,700,Ground out of 4,Ground,Malancha,Kolkata,Unfurnished,Bachelors,2
1,5000,250,1 out of 2,1,Malancha,Kolkata,Unfurnished,Bachelors,1
2,26000,800,1 out of 2,1,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,Bachelors,2
2,10000,1000,1 out of 3,1,Natunhat,Kolkata,Semi-Furnished,Bachelors/Family,2
3,25000,1200,1 out of 4,1,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,2
1,5000,400,1 out of 1,1,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1
1,6500,250,1 out of 4,1,"Tarulia, Keshtopur",Kolkata,Furnished,Bachelors,1
1,5500,375,1 out of 2,1,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1
3,8500,900,Ground out of 2,Ground,Paschim Barisha,Kolkata,Unfurnished,Bachelors,2
3,40000,1286,1 out of 1,1,New Town Action Area 1,Kolkata,Furnished,Bachelors/Family,2
2,6000,600,1 out of 2,1,Barasat,Kolkata,Semi-Furnished,Bachelors/Family,1
2,10000,800,Ground out of 2,Ground,Behala,Kolkata,Unfurnished,Bachelors/Family,1
2,11000,2000,Ground out of 3,Ground,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,1
2,6000,660,1 out of 2,1,Behala,Kolkata,Unfurnished,Bachelors/Family,1
2,7900,650,1 out of 2,1,Santoshpur,Kolkata,Unfurnished,Family,1
2,9000,400,2 out of 3,2,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,2
1,4000,300,Ground out of 4,Ground,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1
3,6500,1600,Ground out of 2,Ground,Joka,Kolkata,Unfurnished,Bachelors/Family,1
1,8000,400,1 out of 2,1,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,1
2,7000,1000,1 out of 1,1,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,1
1,5300,355,1 out of 1,1,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,1
2,6000,1000,Ground out of 3,Ground,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,1
2,8500,800,4 out of 5,4,Baguiati,Kolkata,Unfurnished,Bachelors/Family,1
2,12500,850,Ground out of 2,Ground,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,2
1,7500,350,Ground out of 2,Ground,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1
2,15000,900,Ground out of 2,Ground,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2
2,6000,550,1 out of 1,1,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1
2,5000,500,Ground out of 2,Ground,Baruipur,Kolkata,Unfurnished,Bachelors/Family,2
3,22000,1100,2 out of 3,2,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1
2,15000,850,1 out of 2,1,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1
2,12500,800,2 out of 2,2,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1
2,7000,630,Ground out of 3,Ground,Birati,Kolkata,Unfurnished,Bachelors,1
2,21000,900,1 out of 2,1,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2
1,10000,270,1 out of 2,1,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1
2,7200,630,Ground out of 1,Ground,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1
3,12000,1500,Ground out of 2,Ground,Bhadrakali,Kolkata,Furnished,Bachelors,2
1,5000,600,2 out of 5,2,Behala,Kolkata,Unfurnished,Bachelors/Family,1
2,8500,700,4 out of 14,4,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1
1,6000,300,Ground out of 3,Ground,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1
